Session,Channel,Threshold,Model,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-22_17-42-27,24,0.3,CNN1D_1,80,68,29,0.5405405405405406,0.7339449541284404,0.622568093385214,14.054166666666493,170,109
2025-09-22_17-42-27,24,0.3,CNN1D_2,36,1,73,0.972972972972973,0.3302752293577982,0.4931506849315068,17.20648148148363,37,109
2025-09-22_17-42-27,24,0.3,CNN1D_3,63,12,46,0.84,0.5779816513761468,0.6847826086956522,12.38571428570697,75,109
2025-09-22_17-42-27,24,0.3,CNN1D_4,56,10,53,0.8484848484848485,0.5137614678899083,0.64,16.235714285711147,67,109
2025-09-22_17-42-27,24,0.3,CNN1D_5,74,60,35,0.5522388059701493,0.6788990825688074,0.609053497942387,7.5477477477458,138,109
2025-09-22_17-42-27,24,0.3,CNN2D_1,43,3,66,0.9347826086956522,0.3944954128440367,0.5548387096774194,16.78372093023321,48,109
2025-09-22_17-42-27,24,0.3,CNN2D_2,47,23,62,0.6714285714285714,0.43119266055045874,0.5251396648044694,16.96312056737948,69,109
2025-09-22_17-42-27,24,0.3,CNN2D_3,2,0,107,1.0,0.01834862385321101,0.03603603603603604,8.45000000001346,2,109
2025-09-22_17-42-27,24,0.3,CNN2D_4,0,0,109,0.0,0.0,0.0,,0,109
2025-09-22_17-42-27,24,0.3,CNN2D_5,4,0,105,1.0,0.03669724770642202,0.07079646017699115,25.983333333339942,4,109
2025-09-22_17-42-27,24,0.3,LSTM_1,52,6,57,0.896551724137931,0.47706422018348627,0.6227544910179641,33.858974358970606,83,109
2025-09-22_17-42-27,24,0.3,LSTM_2,68,47,41,0.591304347826087,0.6238532110091743,0.6071428571428572,26.265686274511314,177,109
2025-09-22_17-42-27,24,0.3,LSTM_3,73,40,36,0.6460176991150443,0.6697247706422018,0.6576576576576576,23.752511415522687,233,109
2025-09-22_17-42-27,24,0.3,LSTM_4,74,42,35,0.6379310344827587,0.6788990825688074,0.6577777777777778,26.893243243241624,194,109
2025-09-22_17-42-27,24,0.3,LSTM_5,74,13,35,0.8505747126436781,0.6788990825688074,0.7551020408163265,14.554054054055996,98,109
2025-09-22_17-42-27,24,0.3,SVM_1,62,41,47,0.6019417475728155,0.5688073394495413,0.5849056603773586,25.956451612903596,208,109
2025-09-22_17-42-27,24,0.3,SVM_2,65,79,44,0.4513888888888889,0.5963302752293578,0.5138339920948617,20.628205128207153,282,109
2025-09-22_17-42-27,24,0.3,SVM_3,71,146,38,0.3271889400921659,0.6513761467889908,0.4355828220858896,25.81690140844709,342,109
2025-09-22_17-42-27,24,0.3,SVM_4,64,80,45,0.4444444444444444,0.5871559633027523,0.5059288537549408,21.067187500003826,264,109
2025-09-22_17-42-27,24,0.3,SVM_5,69,105,40,0.39655172413793105,0.6330275229357798,0.4876325088339223,18.798550724636684,333,109
2025-09-22_17-42-27,24,0.3,XGBOOST_1,75,52,34,0.5905511811023622,0.6880733944954128,0.635593220338983,15.649333333334726,139,109
2025-09-22_17-42-27,24,0.3,XGBOOST_2,91,235,18,0.2791411042944785,0.8348623853211009,0.41839080459770117,10.850549450548847,368,109
2025-09-22_17-42-27,24,0.3,XGBOOST_3,89,144,20,0.38197424892703863,0.8165137614678899,0.52046783625731,12.098876404494026,251,109
2025-09-22_17-42-27,24,0.3,XGBOOST_4,89,227,20,0.28164556962025317,0.8165137614678899,0.4188235294117647,11.146816479398305,354,109
2025-09-22_17-42-27,24,0.3,XGBOOST_5,87,135,22,0.3918918918918919,0.7981651376146789,0.525679758308157,13.184674329500838,239,109
2025-09-22_17-55-26,26,0.3,CNN1D_1,142,64,43,0.6893203883495146,0.7675675675675676,0.7263427109974424,13.904225352112622,229,185
2025-09-22_17-55-26,26,0.3,CNN1D_2,51,0,134,1.0,0.2756756756756757,0.4322033898305085,23.37581699346636,48,185
2025-09-22_17-55-26,26,0.3,CNN1D_3,92,9,93,0.9108910891089109,0.4972972972972973,0.6433566433566433,12.04492753623127,102,185
2025-09-22_17-55-26,26,0.3,CNN1D_4,78,3,107,0.9629629629629629,0.42162162162162165,0.5864661654135338,17.600854700861255,81,185
2025-09-22_17-55-26,26,0.3,CNN1D_5,116,76,69,0.6041666666666666,0.6270270270270271,0.6153846153846153,10.952011494257366,199,185
2025-09-22_17-55-26,26,0.3,CNN2D_1,75,2,110,0.974025974025974,0.40540540540540543,0.5725190839694657,11.738666666666735,79,185
2025-09-22_17-55-26,26,0.3,CNN2D_2,82,22,103,0.7884615384615384,0.44324324324324327,0.5674740484429066,14.477235772358277,104,185
2025-09-22_17-55-26,26,0.3,CNN2D_3,17,1,168,0.9444444444444444,0.0918918918918919,0.16748768472906406,22.441176470589948,18,185
2025-09-22_17-55-26,26,0.3,CNN2D_4,16,0,169,1.0,0.08648648648648649,0.15920398009950248,27.875000000006366,16,185
2025-09-22_17-55-26,26,0.3,CNN2D_5,28,3,157,0.9032258064516129,0.15135135135135136,0.2592592592592593,22.920238095246663,30,185
2025-09-22_17-55-26,26,0.3,LSTM_1,79,1,106,0.9875,0.42702702702702705,0.5962264150943396,31.509704641353707,118,185
2025-09-22_17-55-26,26,0.3,LSTM_2,99,40,86,0.7122302158273381,0.5351351351351351,0.6111111111111112,26.821548821552163,213,185
2025-09-22_17-55-26,26,0.3,LSTM_3,129,29,56,0.8164556962025317,0.6972972972972973,0.7521865889212829,25.1126614987118,302,185
2025-09-22_17-55-26,26,0.3,LSTM_4,115,30,70,0.7931034482758621,0.6216216216216216,0.696969696969697,25.043768115942598,257,185
2025-09-22_17-55-26,26,0.3,LSTM_5,123,5,62,0.9609375,0.6648648648648648,0.7859424920127797,13.957452574527055,140,185
2025-09-22_17-55-26,26,0.3,SVM_1,57,14,128,0.8028169014084507,0.3081081081081081,0.44531250000000006,30.530409356726842,149,185
2025-09-22_17-55-26,26,0.3,SVM_2,79,36,106,0.6869565217391305,0.42702702702702705,0.5266666666666667,28.688607594939995,246,185
2025-09-22_17-55-26,26,0.3,SVM_3,94,132,91,0.415929203539823,0.5081081081081081,0.45742092457420924,26.12375886524633,342,185
2025-09-22_17-55-26,26,0.3,SVM_4,82,51,103,0.6165413533834586,0.44324324324324327,0.5157232704402516,27.808130081301787,280,185
2025-09-22_17-55-26,26,0.3,SVM_5,89,61,96,0.5933333333333334,0.4810810810810811,0.5313432835820895,26.98239700374717,306,185
2025-09-22_17-55-26,26,0.3,XGBOOST_1,111,36,74,0.7551020408163265,0.6,0.6686746987951807,19.263663663664776,154,185
2025-09-22_17-55-26,26,0.3,XGBOOST_2,156,225,29,0.4094488188976378,0.8432432432432433,0.5512367491166078,12.292521367523145,431,185
2025-09-22_17-55-26,26,0.3,XGBOOST_3,145,134,40,0.5197132616487455,0.7837837837837838,0.625,14.927816091957117,302,185
2025-09-22_17-55-26,26,0.3,XGBOOST_4,159,231,26,0.4076923076923077,0.8594594594594595,0.5530434782608695,12.31383647798937,436,185
2025-09-22_17-55-26,26,0.3,XGBOOST_5,142,132,43,0.5182481751824818,0.7675675675675676,0.6187363834422658,14.092018779344842,297,185
2025-09-23_15-50-26,28,0.3,CNN1D_1,84,71,55,0.5419354838709678,0.60431654676259,0.5714285714285715,19.994841269842386,173,139
2025-09-23_15-50-26,28,0.3,CNN1D_2,13,0,126,1.0,0.09352517985611511,0.17105263157894735,15.935897435888855,13,139
2025-09-23_15-50-26,28,0.3,CNN1D_3,40,5,99,0.8888888888888888,0.28776978417266186,0.4347826086956522,8.534166666663259,46,139
2025-09-23_15-50-26,28,0.3,CNN1D_4,36,5,103,0.8780487804878049,0.2589928057553957,0.39999999999999997,12.58240740740439,41,139
2025-09-23_15-50-26,28,0.3,CNN1D_5,72,124,67,0.3673469387755102,0.5179856115107914,0.4298507462686567,12.78842592592572,200,139
2025-09-23_15-50-26,28,0.3,CNN2D_1,61,11,78,0.8472222222222222,0.43884892086330934,0.5781990521327014,11.113661202188133,72,139
2025-09-23_15-50-26,28,0.3,CNN2D_2,59,50,80,0.5412844036697247,0.4244604316546763,0.47580645161290325,10.798870056499917,110,139
2025-09-23_15-50-26,28,0.3,CNN2D_3,11,2,128,0.8461538461538461,0.07913669064748201,0.14473684210526314,4.9939393939490735,13,139
2025-09-23_15-50-26,28,0.3,CNN2D_4,8,3,131,0.7272727272727273,0.05755395683453238,0.10666666666666667,14.183333333334758,12,139
2025-09-23_15-50-26,28,0.3,CNN2D_5,13,0,126,1.0,0.09352517985611511,0.17105263157894735,13.807692307695387,12,139
2025-09-23_15-50-26,28,0.3,LSTM_1,54,10,85,0.84375,0.38848920863309355,0.5320197044334976,29.060493827162848,87,139
2025-09-23_15-50-26,28,0.3,LSTM_2,57,56,82,0.504424778761062,0.41007194244604317,0.45238095238095244,21.645614035090674,158,139
2025-09-23_15-50-26,28,0.3,LSTM_3,95,94,44,0.5026455026455027,0.6834532374100719,0.5792682926829269,20.724561403506844,324,139
2025-09-23_15-50-26,28,0.3,LSTM_4,98,65,41,0.6012269938650306,0.7050359712230215,0.6490066225165563,22.479251700680816,269,139
2025-09-23_15-50-26,28,0.3,LSTM_5,95,23,44,0.8050847457627118,0.6834532374100719,0.7392996108949417,15.220701754385779,124,139
2025-09-23_15-50-26,28,0.3,SVM_1,76,142,63,0.3486238532110092,0.5467625899280576,0.42577030812324934,19.74561403508996,429,139
2025-09-23_15-50-26,28,0.3,SVM_2,91,237,48,0.2774390243902439,0.6546762589928058,0.38972162740899363,16.860073260072998,664,139
2025-09-23_15-50-26,28,0.3,SVM_3,85,321,54,0.20935960591133004,0.6115107913669064,0.3119266055045871,19.89058823529406,614,139
2025-09-23_15-50-26,28,0.3,SVM_4,90,262,49,0.2556818181818182,0.6474820143884892,0.3665987780040733,17.379259259258248,706,139
2025-09-23_15-50-26,28,0.3,SVM_5,93,291,46,0.2421875,0.6690647482014388,0.35564053537284895,16.332616487455187,742,139
2025-09-23_15-50-26,28,0.3,XGBOOST_1,96,94,43,0.5052631578947369,0.6906474820143885,0.5835866261398177,13.184722222223533,199,139
2025-09-23_15-50-26,28,0.3,XGBOOST_2,123,434,16,0.22082585278276481,0.8848920863309353,0.35344827586206895,10.718428184281326,631,139
2025-09-23_15-50-26,28,0.3,XGBOOST_3,119,294,20,0.288135593220339,0.8561151079136691,0.43115942028985504,11.834173669471637,450,139
2025-09-23_15-50-26,28,0.3,XGBOOST_4,123,428,16,0.22323049001814882,0.8848920863309353,0.3565217391304348,11.088075880758945,625,139
2025-09-23_15-50-26,28,0.3,XGBOOST_5,119,288,20,0.29238329238329236,0.8561151079136691,0.43589743589743585,13.132492997197854,447,139
2025-09-23_16-17-52,24,0.3,CNN1D_1,8,7,64,0.5333333333333333,0.1111111111111111,0.1839080459770115,25.88333333333003,16,72
2025-09-23_16-17-52,24,0.3,CNN1D_2,0,0,72,0.0,0.0,0.0,,0,72
2025-09-23_16-17-52,24,0.3,CNN1D_3,0,0,72,0.0,0.0,0.0,,0,72
2025-09-23_16-17-52,24,0.3,CNN1D_4,1,1,71,0.5,0.013888888888888888,0.02702702702702703,17.766666666720994,2,72
2025-09-23_16-17-52,24,0.3,CNN1D_5,2,3,70,0.4,0.027777777777777776,0.051948051948051945,23.316666666672972,5,72
2025-09-23_16-17-52,24,0.3,CNN2D_1,1,2,71,0.3333333333333333,0.013888888888888888,0.026666666666666665,39.16666666668607,3,72
2025-09-23_16-17-52,24,0.3,CNN2D_2,3,25,69,0.10714285714285714,0.041666666666666664,0.06,21.94444444446708,29,72
2025-09-23_16-17-52,24,0.3,CNN2D_3,2,4,70,0.3333333333333333,0.027777777777777776,0.05128205128205128,39.68333333331975,6,72
2025-09-23_16-17-52,24,0.3,CNN2D_4,2,0,70,1.0,0.027777777777777776,0.05405405405405406,6.399999999994179,2,72
2025-09-23_16-17-52,24,0.3,CNN2D_5,4,0,68,1.0,0.05555555555555555,0.10526315789473684,14.633333333349583,4,72
2025-09-23_16-17-52,24,0.3,LSTM_1,0,0,72,0.0,0.0,0.0,,0,72
2025-09-23_16-17-52,24,0.3,LSTM_2,0,0,72,0.0,0.0,0.0,,0,72
2025-09-23_16-17-52,24,0.3,LSTM_3,0,0,72,0.0,0.0,0.0,,0,72
2025-09-23_16-17-52,24,0.3,LSTM_4,1,0,71,1.0,0.013888888888888888,0.0273972602739726,42.03333333332557,1,72
2025-09-23_16-17-52,24,0.3,LSTM_5,0,1,72,0.0,0.0,0.0,,1,72
2025-09-23_16-17-52,24,0.3,SVM_1,1,0,71,1.0,0.013888888888888888,0.0273972602739726,54.59999999997672,1,72
2025-09-23_16-17-52,24,0.3,SVM_2,4,19,68,0.17391304347826086,0.05555555555555555,0.08421052631578947,41.42499999998836,30,72
2025-09-23_16-17-52,24,0.3,SVM_3,11,151,61,0.06790123456790123,0.1527777777777778,0.09401709401709402,35.34848484848044,226,72
2025-09-23_16-17-52,24,0.3,SVM_4,5,22,67,0.18518518518518517,0.06944444444444445,0.10101010101010101,44.49333333332324,36,72
2025-09-23_16-17-52,24,0.3,SVM_5,6,32,66,0.15789473684210525,0.08333333333333333,0.1090909090909091,43.305555555547166,50,72
2025-09-23_16-17-52,24,0.3,XGBOOST_1,3,39,69,0.07142857142857142,0.041666666666666664,0.052631578947368425,43.79999999999806,44,72
2025-09-23_16-17-52,24,0.3,XGBOOST_2,17,150,55,0.10179640718562874,0.2361111111111111,0.14225941422594143,23.476470588226647,182,72
2025-09-23_16-17-52,24,0.3,XGBOOST_3,8,88,64,0.08333333333333333,0.1111111111111111,0.09523809523809525,27.583333333323026,104,72
2025-09-23_16-17-52,24,0.3,XGBOOST_4,17,156,55,0.09826589595375723,0.2361111111111111,0.13877551020408163,29.603921568616737,184,72
2025-09-23_16-17-52,24,0.3,XGBOOST_5,9,86,63,0.09473684210526316,0.125,0.10778443113772454,22.7814814814693,102,72
2025-09-24_10-24-40,30,0.3,CNN1D_1,39,114,53,0.2549019607843137,0.42391304347826086,0.3183673469387755,26.862393162399083,163,92
2025-09-24_10-24-40,30,0.3,CNN1D_2,4,0,88,1.0,0.043478260869565216,0.08333333333333333,22.158333333334667,4,92
2025-09-24_10-24-40,30,0.3,CNN1D_3,18,10,74,0.6428571428571429,0.1956521739130435,0.30000000000000004,20.29259259260041,30,92
2025-09-24_10-24-40,30,0.3,CNN1D_4,14,9,78,0.6086956521739131,0.15217391304347827,0.24347826086956523,25.478571428572,24,92
2025-09-24_10-24-40,30,0.3,CNN1D_5,35,93,57,0.2734375,0.3804347826086957,0.31818181818181823,19.078095238095322,133,92
2025-09-24_10-24-40,30,0.3,CNN2D_1,28,12,64,0.7,0.30434782608695654,0.42424242424242425,19.5488095238058,39,92
2025-09-24_10-24-40,30,0.3,CNN2D_2,35,102,57,0.25547445255474455,0.3804347826086957,0.3056768558951965,17.25142857143531,143,92
2025-09-24_10-24-40,30,0.3,CNN2D_3,9,27,83,0.25,0.09782608695652174,0.140625,13.899999999992865,38,92
2025-09-24_10-24-40,30,0.3,CNN2D_4,3,6,89,0.3333333333333333,0.03260869565217391,0.05940594059405941,13.600000000001879,9,92
2025-09-24_10-24-40,30,0.3,CNN2D_5,14,14,78,0.5,0.15217391304347827,0.23333333333333334,12.454761904754767,29,92
2025-09-24_10-24-40,30,0.3,LSTM_1,11,5,81,0.6875,0.11956521739130435,0.20370370370370372,38.52727272725513,16,92
2025-09-24_10-24-40,30,0.3,LSTM_2,18,61,74,0.22784810126582278,0.1956521739130435,0.2105263157894737,29.888888888887678,105,92
2025-09-24_10-24-40,30,0.3,LSTM_3,29,41,63,0.4142857142857143,0.31521739130434784,0.3580246913580247,34.928735632179176,115,92
2025-09-24_10-24-40,30,0.3,LSTM_4,32,42,60,0.43243243243243246,0.34782608695652173,0.38554216867469876,31.25104166666238,109,92
